Algorithm,Technique,Type,ROC-AUC SCORE,Accuracy,Precision,Recall,F1 Score,CV_score,Training time
LogisticRegression,Under,TomekLinks,0.7591279652140378,0.8470197719728677,0.45454545454545453,0.10105871029836382,0.16535433070866143,0.16676399199141217,0.2911076545715332
knn,Original,Original,0.6484316250279833,0.8354740943859142,0.3936842105263158,0.17998075072184794,0.24702774108322326,0.1460606834035736,5.4742937088012695
knn,Over,OverRandomsampling,0.6355859999901956,0.6559388079087891,0.22806308127780026,0.5428296438883542,0.3211845102505695,0.7847823434384237,9.446821212768555
knn,Over,SMOTE,0.639432342382237,0.6504546110549863,0.22217758135797508,0.5322425409047161,0.3134920634920635,0.8074384855681788,9.285641193389893
knn,Over,ADASYN,0.6407718666407395,0.6396305383172175,0.2189668465690054,0.546679499518768,0.3126892375447289,0.8103327614239576,9.500748872756958
knn,Under,UnderRandomsampling,0.6686966375857679,0.6021070861596189,0.22308188265635073,0.6660250240615977,0.3342187877324318,0.5825590778287223,1.894928216934204
knn,Under,allknn,0.6802011043006939,0.7676432385625631,0.2999299229152067,0.41193455245428295,0.3471208434712084,0.5325195449325677,3.7635622024536133
knn,Under,NeighbourhoodCleaningRule,0.6724814574546834,0.7953528647712512,0.3233923578751165,0.3339749759384023,0.32859848484848486,0.3764518839618889,4.182804107666016
knn,Under,TomekLinks,0.6549066867547645,0.8302785394717852,0.3860232945091514,0.22329162656400384,0.28292682926829266,0.1988484092238686,5.090793609619141
DecisionTreeClassifier,Original,Original,0.5819048615048753,0.7711069418386491,0.26997476871320436,0.3089509143407122,0.2881508078994614,0.2879861726434996,0.783149003982544
DecisionTreeClassifier,Over,OverRandomsampling,0.578324871603393,0.7830855823351133,0.28071833648393196,0.2858517805582291,0.2832618025751073,0.9138527448768945,1.2293617725372314
DecisionTreeClassifier,Over,SMOTE,0.5943833122811375,0.7598499061913696,0.2717311906501096,0.35803657362848895,0.3089700996677741,0.846488057310936,1.4724664688110352
DecisionTreeClassifier,Over,ADASYN,0.5962795622668394,0.7617260787992496,0.275,0.3599615014436959,0.3117965819091288,0.8487801708622593,1.4806742668151855
DecisionTreeClassifier,Under,UnderRandomsampling,0.6167062654929727,0.6084572088324434,0.2191275167785235,0.6284889316650626,0.32495645683005725,0.6177066722016463,0.30058765411376953
DecisionTreeClassifier,Under,allknn,0.6338018468195388,0.7217491701544234,0.27146529562982,0.5081809432146295,0.353887399463807,0.48590110992174984,0.5160806179046631
DecisionTreeClassifier,Under,NeighbourhoodCleaningRule,0.6111896642161148,0.7461394140568625,0.27358490566037735,0.41867179980750724,0.33092430581970333,0.41207837626245175,0.6010222434997559
DecisionTreeClassifier,Under,TomekLinks,0.5953058233151571,0.7687978063212585,0.28024980483996875,0.3455245428296439,0.30948275862068964,0.31792183654283956,0.7470736503601074
RandomForestClassifier,Original,Original,0.7630470234700665,0.8506277962187906,0.5082644628099173,0.11838306063522618,0.1920374707259953,0.16987845749965388,15.977705478668213
RandomForestClassifier,Over,OverRandomsampling,0.7613310924864085,0.8382161928128157,0.42857142857142855,0.23676612127045235,0.3050216986980781,0.9463260567171472,26.186954021453857
RandomForestClassifier,Over,SMOTE,0.7562533191932297,0.8080531101169,0.35777126099706746,0.35226179018286813,0.35499515033947626,0.8795688830748349,32.272435903549194
RandomForestClassifier,Over,ADASYN,0.7551803108317227,0.809784961754943,0.36547733847637415,0.3647738209817132,0.3651252408477842,0.8819543315056162,32.85908365249634
RandomForestClassifier,Under,UnderRandomsampling,0.7601708250881168,0.682349545388945,0.28272251308900526,0.7276227141482194,0.4072178831133854,0.7141634419286557,5.961101293563843
RandomForestClassifier,Under,allknn,0.7682736600263739,0.8040121229614663,0.36979591836734693,0.4359961501443696,0.4001766784452297,0.5261790038464539,10.923123359680176
RandomForestClassifier,Under,NeighbourhoodCleaningRule,0.7676662783040373,0.830855823351133,0.41238471673254284,0.3012512030798845,0.3481646273637375,0.40679386680487395,12.365092992782593
RandomForestClassifier,Under,TomekLinks,0.7653431290044789,0.8488959445807476,0.48787878787878786,0.15495668912415783,0.2352081811541271,0.22382445250883423,15.050578117370605
svc,Original,Original,0.6742697774894562,0.8503391542791168,0.5138888888888888,0.0356111645813282,0.0666066606660666,0.052878037219044334,3612.7043957710266
svc,Over,OverRandomsampling,0.7356622290925551,0.6889883100014432,0.27608346709470305,0.6621751684311838,0.38969130557915604,0.9291076594438787,8622.586941719055
svc,Over,SMOTE,0.6915871830527917,0.6936065810362245,0.2599645704162976,0.5649663137632339,0.35608128601759176,0.8666941380528468,10026.585838317871
svc,Over,ADASYN,0.691035522925106,0.6865348535142156,0.25655350236355823,0.5745909528392685,0.35472370766488415,0.8695241957154596,10294.820664644241
svc,Under,UnderRandomsampling,0.7246637504064735,0.6505989320248232,0.2542674253200569,0.6881616939364774,0.3713321215268761,0.49069296732669065,177.7991907596588
svc,Under,allknn,0.7076059159666063,0.8165680473372781,0.36384976525821594,0.2983638113570741,0.32786885245901637,0.28565436903364594,1363.255413532257
svc,Under,NeighbourhoodCleaningRule,0.6984162648230062,0.8387934766921634,0.42585551330798477,0.21559191530317612,0.28626198083067095,0.17593781476756218,1859.0399627685547
svc,Under,TomekLinks,0.6863730470888327,0.8483186607013999,0.4647058823529412,0.07603464870067372,0.130686517783292,0.07749529497330057,3150.5413732528687
GaussianNB,Original,Original,0.7193881736226063,0.8454322413046615,0.40588235294117647,0.06641000962463908,0.1141439205955335,0.10381445067972973,0.15151453018188477
GaussianNB,Over,OverRandomsampling,0.7214529773469657,0.5692019050368018,0.22699214365881032,0.7786333012512031,0.3515098848577015,0.6858356396851426,0.22883939743041992
GaussianNB,Over,SMOTE,0.5955849215077185,0.5312454899696926,0.180872580179139,0.602502406159769,0.2782222222222222,0.7016219670291267,0.20699691772460938
GaussianNB,Over,ADASYN,0.5902287853509398,0.5209987011112714,0.177784058790277,0.6053897978825794,0.27485252348700023,0.7035134388263011,0.21844482421875
GaussianNB,Under,UnderRandomsampling,0.7207406886927649,0.5487083273199596,0.22322375397667021,0.8103946102021174,0.35003117854915816,0.6886313309806591,0.08726143836975098
GaussianNB,Under,allknn,0.7197646620509794,0.801125703564728,0.33841754051477596,0.34167468719923005,0.3400383141762452,0.40367943732017686,0.10834360122680664
GaussianNB,Under,NeighbourhoodCleaningRule,0.7238050495856829,0.82724779910521,0.3753943217665615,0.22906641000962463,0.28451882845188287,0.30949564653689116,0.1201162338256836
GaussianNB,Under,TomekLinks,0.7212990484843236,0.8444219945158031,0.41409691629955947,0.0904716073147257,0.1484992101105845,0.13746439728550366,0.14459800720214844
SGDClassifier,Original,Original,0.5,0.850050512339443,0.0,0.0,0.0,0.07616496873822617,2.0614874362945557
SGDClassifier,Over,OverRandomsampling,0.5157319546187645,0.8370616250541204,0.28365384615384615,0.05678537054860443,0.0946271050521251,0.5842470741536088,5.278468370437622
SGDClassifier,Over,SMOTE,0.5034563729327043,0.8411026122095541,0.20754716981132076,0.021174205967276226,0.03842794759825328,0.5525826057189769,5.287475109100342
SGDClassifier,Over,ADASYN,0.5148072375978601,0.22499639197575408,0.15412873342916467,0.9287776708373436,0.26438356164383564,0.4652511261795273,4.925504684448242
SGDClassifier,Under,UnderRandomsampling,0.5018107884197127,0.15370183287631692,0.15041298362556152,0.9990375360923965,0.2614609571788413,0.5126135471296898,0.5362589359283447
SGDClassifier,Under,allknn,0.5,0.850050512339443,0.0,0.0,0.0,0.2089023659467489,1.2154548168182373
SGDClassifier,Under,NeighbourhoodCleaningRule,0.5030841330716651,0.15586664742387069,0.1507406331687482,0.9990375360923965,0.2619558359621451,0.08006744257324862,1.573338270187378
SGDClassifier,Under,TomekLinks,0.5064550444383803,0.8488959445807476,0.4090909090909091,0.017324350336862367,0.0332409972299169,0.03911573997979981,1.911461591720581
